"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.553713292E0,-2.589367867E0,-3.139508367E-1,-1.299230456E0
3.563740292E0,-2.471138239E0,-5.209906101E-1,-1.463656783E0
3.573766292E0,-2.269677639E0,-6.148821712E-1,-1.410090804E0
3.583792292E0,-1.862798810E0,-6.087769270E-1,-1.044659853E0
3.593819292E0,-1.313826203E0,-7.619295120E-1,-3.342548013E-1
3.603845292E0,-4.638339579E-1,-1.499786019E0,5.381494164E-1
3.613871292E0,1.099898815E0,-1.942862034E0,7.854809165E-1
3.623898292E0,1.667280793E0,-1.900561810E0,4.932283461E-1
3.633924292E0,1.754502773E0,-1.711280584E0,-4.171627760E-2
3.643950292E0,1.786407709E0,-1.993911266E0,-4.677960873E-1
3.653976292E0,1.472814679E0,-2.374577999E0,-5.975759029E-1
3.664003292E0,7.840335965E-1,-2.559939146E0,-7.256341577E-1
3.674029292E0,-1.154730096E-1,-2.770270824E0,-1.059257865E0
3.684055292E0,-8.748335838E-1,-2.985748053E0,-1.371139646E0
3.694082292E0,-1.439150453E0,-2.917403698E0,-1.458009005E0
3.704108292E0,-1.853063822E0,-2.217894793E0,-1.388355732E0
3.714134292E0,-1.878164172E0,-1.223059416E0,-1.386779666E0
3.724161292E0,-1.766735911E0,-2.735337019E-1,-1.224477887E0
3.734187292E0,-1.557097793E0,3.031645119E-1,-8.415131569E-1
3.744213292E0,-1.478537202E0,3.998971581E-1,-2.714710236E-1
3.754240292E0,-1.191505075E0,4.158236682E-1,4.143486023E-1
3.764266292E0,-9.008637667E-1,4.940789342E-1,8.025287390E-1
3.774292292E0,-8.607733250E-1,6.069450378E-1,8.783164620E-1
